# hp6633 V20160217
# 
# Start: Mon Jan  9 14:06:40 2017
# min	Volt	Ampere
0.6964	10.5000	1.0062
0.6994	10.5440	1.0085
0.7030	10.6020	1.0114
0.7060	10.6600	1.0137
0.7096	10.7030	1.0166
0.7126	10.7610	1.0190
0.7163	10.8050	1.0219
0.7193	10.8480	1.0236
0.7229	10.9060	1.0265
0.7259	10.9500	1.0294
0.7296	11.0080	1.0317
0.7326	11.0520	1.0346
0.7362	11.0950	1.0364
0.7392	11.1530	1.0393
0.7429	11.1970	1.0422
0.7459	11.2550	1.0445
0.7495	11.3130	1.0468
0.7525	11.3420	1.0491
0.7561	11.4000	1.0515
0.7591	11.4430	1.0544
0.7628	11.5010	1.0567
0.7658	11.5600	1.0596
0.7694	11.6030	1.0613
0.7724	11.6470	1.0637
0.7761	11.7050	1.0666
0.7791	11.7480	1.0695
0.7827	11.8060	1.0718
0.7857	11.8500	1.0741
0.7893	11.8930	1.0764
0.7923	11.9510	1.0787
0.7960	12.0090	1.0817
0.7990	12.0530	1.0840
0.8026	12.1110	1.0863
0.8057	12.1400	1.0886
0.8093	12.1980	1.0909
0.8123	12.2560	1.0933
0.8159	12.3000	1.0962
0.8189	12.3580	1.0985
0.8225	12.4010	1.1002
0.8255	12.4450	1.1031
0.8292	12.5030	1.1055
0.8322	12.5460	1.1078
0.8358	12.6040	1.1107
0.8389	12.6620	1.1130
0.8425	12.7060	1.1147
0.8455	12.7490	1.1176
0.8491	12.8080	1.1200
0.8521	12.8510	1.1223
0.8558	12.9090	1.1246
0.8588	12.9530	1.1269
0.8624	12.9960	1.1293
0.8654	13.0540	1.1316
0.8690	13.1120	1.1345
0.8721	13.1560	1.1368
0.8757	13.1990	1.1385
0.8787	13.2430	1.1409
0.8823	13.3010	1.1438
0.8853	13.3590	1.1467
0.8890	13.4030	1.1484
0.8920	13.4610	1.1513
0.8956	13.4900	1.1536
0.8986	13.5480	1.1565
0.9022	13.6060	1.1594
0.9053	13.6490	1.1623
0.9089	13.7070	1.1652
0.9119	13.7510	1.1676
0.9155	13.7940	1.1711
0.9185	13.8520	1.1740
0.9222	13.8960	0.0233
0.9252	13.9540	0.0228
0.9288	13.9830	0.0228
0.9318	14.0410	0.0228
0.9353	14.0990	0.0228
0.9383	14.1430	0.0228
0.9419	14.2010	0.0233
0.9449	14.2300	0.0233
0.9487	14.2880	0.0233
0.9517	14.3460	0.0233
0.9552	14.3890	0.0233
0.9582	14.4470	0.0233
0.9619	14.5050	0.0239
0.9649	14.5340	0.0239
0.9686	14.5930	0.0239
0.9716	14.6360	0.0239
0.9752	14.6940	0.0239
0.9782	14.7520	0.0245
0.9819	14.7960	0.0245
0.9849	14.8390	0.0245
0.9884	14.8970	0.0245
0.9914	14.9410	0.0245
0.9951	14.9990	0.0245
0.9981	15.0420	0.0245
1.0017	15.0860	0.0251
1.0047	15.1440	0.0251
1.0085	15.1880	0.0251
1.0115	15.2460	0.0251
1.0150	15.3040	0.0251
1.0185	15.3330	0.0251
1.0216	15.3910	0.0257
1.0246	15.4490	0.0257
1.0284	15.4920	0.0257
1.0314	15.5500	0.0257
1.0349	15.5790	0.0262
1.0379	15.6370	0.0262
1.0417	15.6950	0.0262
1.0447	15.7390	0.0262
1.0482	15.7970	0.0262
1.0512	15.8410	0.0262
1.0549	15.8990	0.0268
1.0579	15.9420	0.0268
1.0616	16.0000	0.0268


1.0646	15.9420	0.0268
1.0678	15.8990	0.0262
1.0708	15.8410	0.0262
1.0747	15.7970	0.0262
1.0777	15.7390	0.0262
1.0815	15.6950	0.0262
1.0844	15.6370	0.0262
1.0882	15.5790	0.0257
1.0912	15.5500	0.0257
1.0951	15.4920	0.0257
1.0981	15.4490	0.0257
1.1019	15.3910	0.0257
1.1049	15.3330	0.0251
